쌈촌 명일점	음식점>일식>샤브샤브	서울특별시 강동구 동남로75길 13	1271555841	375542238
양평해장국 고덕역점	한식>해장국	서울특별시 강동구 동남로73길 31	1271543664	375528478
원라멘	음식점>일식>일본식라면	서울특별시 강동구 구천면로 427	1271460942	375506056
고덕밥집	음식점>한식	서울특별시 강동구 고덕로 266	1271552654	375545436
수유골목냉면 명일점	한식>냉면	서울특별시 강동구 구천면로 431	1271467103	375502443
현대옥 고덕역점	한식>국밥	서울특별시 강동구 동남로73길 26	1271549622	375534129
수유라멘	음식점>일식>일본식라면	서울특별시 강북구 한천로131길 17	1270274081	376384750
미도인 수유	음식점>양식	서울특별시 강북구 도봉로 315	1270232817	376369265
낙지일번지 수유본점	한식>낙지요리	서울특별시 강북구 도봉로89길 10	1270260760	376392031
다래함박스텍	음식점>일식>돈가스	서울특별시 강북구 수유로 20-2	1270190130	376327810
소담촌 수유점	음식점>일식>샤브샤브	서울특별시 강북구 도봉로 388	1270296291	376413421
도리연 닭도리탕 수유점	음식점>한식>육류,고기요리>닭볶음탕	서울특별시 강북구 도봉로87길 40	1270236946	376391994
고기반햄반김치찌개&김치찜 수유본점	음식점>한식	서울특별시 강북구 덕릉로 93-9	1270242223	376352856
보승회관 수유점	음식점>한식>국밥	서울특별시 강북구 노해로8길 22	1270241185	376381733
송쭈집 마곡	한식>주꾸미요리	서울특별시 강서구 마곡서로 158	1268254241	375680891
소복집	음식점>한식	서울특별시 강서구 마곡서로 158	1268254241	375680891
에머이 마곡나루점	음식점>베트남음식	서울특별시 강서구 마곡서로 152	1268261182	375677262
봉이밥 마곡본점	음식점>한식	서울특별시 강서구 마곡중앙로 171	1268279444	375689605
스시도쿠 마곡코엑스점	음식점>일식>일식당	서울특별시 강서구 마곡중앙로 143	1268255340	375664206
달인대보칼국수 본점	한식>칼국수,만두	서울특별시 강서구 마곡중앙5로 6	1268263320	375672683
공탕 원그로브점	음식점>한식	서울특별시 강서구 공항대로 165	1268260909	375616867
란콰이펑누들 마곡나루점	중식>중식당	서울특별시 강서구 마곡중앙로 165	1268279085	375687218
춘담 마곡본점	음식점>한식	서울특별시 강서구 마곡중앙로 143	1268256724	375659180
